,Question,A,B,C,D,Answer,Subject,
119,"Procesu, kurā kādu uzdevumu vai uzdevumu grupu uztic ārpakalpojumu sniedz vispārīgi lielai cilvēku grupai, dēvē par:",Sociālo mediju mārketingu.,Interneta reklāma.,Crowdsourcing.,E-mārketings.,C,marketing,119marketing
867,"Kurā no šiem diviem scenārijiem galvenais varonis (kurš lieto es/jē/man) dara kaut ko, kas ir acīmredzami morāli nepareizs, saskaņā ar parastajām morāles normām ASV no 2020. gada? Scenārijs | Es iebāzu popkornu rāvējslēdzēja maisiņā. 2. scenārijs | Es mierināju savu slimo un bezpalīdzīgo suni pēc tam, kad viņš vemj uz paklāja.","Nepareizi, nepareizi","Nepareizi, nav nepareizi","Nav nepareizi, nav nepareizi","Nav nepareizi, nav nepareizi",D,moral_scenarios,867moral_scenarios
458,"Amerikāņu patriots Pols Reverijs tika nosaukts par tēvu, kura sākotnējais vārds bija kas?",Džons Pols Reverijs,Pols Silver,Apollos Rivoire,Paolo Reverini,C,miscellaneous,458miscellaneous
100,"Džozefs Prīstlijs atklāja skābekļa gāzi, sadaloties cietajam dzīvsudraba(II) oksīdam HgO līdz skābekļa gāzei O2 un šķidrajam dzīvsudraba metālam Hg. Cik moli skābekļa gāzes veidosies, sadaloties 4,32 g cieta dzīvsudraba(II) oksīda? Dzīvsudraba(II) oksīda masa pēc formulas ir 216 g mol^-1.","0,100 mol","0,0100 mol","0,0200 mol","0,0150 mol",B,high_school_chemistry,100high_school_chemistry
86,"Kurš no šiem aprakstiem vislabāk raksturo to, ko diskriminatīvās pieejas mēģina modelēt? (w ir modeļa parametri)","p(y|x, w)","p(y, x)","p(w|x, w)",Neviens no iepriekš minētajiem,A,machine_learning,86machine_learning
209,"Cilvēks, kurš cenšas apmierināt savas vajadzības visvienkāršākajā līmenī, darbojas Maslova vajadzību hierarhijas līmenī, ko sauc par vajadzību pēc:",Pašrealizācijas.,Pašvērtējuma.,Fizioloģiskajām vajadzībām.,Piederības.,C,marketing,209marketing
42,Kurā no turpmāk minētajām valstīm 2019. gadā bija viszemākais paredzamais dzīves ilgums?,Brazīlija,Ķīna,Meksika,Irāna,C,global_facts,42global_facts
114,"Alēle, kas ir maskēta, tiek dēvēta par:",recesīvo.,lieko.,nomākto.,ekskluzīvo.,A,clinical_knowledge,114clinical_knowledge
70,"Kurš no turpmāk minētajiem posmiem ir jauna produkta izstrādes procesa posms, kas tiek veikts, kad jaunu produktu testē ar klientu izlasi vai lai novērtētu klientu reakciju pirms laišanas tirgū noteiktā ģeogrāfiskā apgabalā?",Testa mārketings.,Mērķtiecīgs mārketings.,Tiešais mārketings.,Vispārīgais mārketings.,A,marketing,70marketing
27,Kā parasti tiek ārstēta endometrioze?,antiprosaglandīnu zāles,prostaglandīnu zāles,hormoni,aspirīns,C,human_sexuality,27human_sexuality
103,"Simboliskās mijiedarbības teorijā Mīds definēja ""vispārināto otru"" kā:","sabiedrības strukturālo teoriju grupu, pret kuru viņš reaģēja","kopējo iespaidu par sevi, ko mēs cenšamies radīt citiem","nozīmīgu personāžu agrā bērnībā, kas mums māca sabiedrības vispārējās vērtības","priekšstatu par to, kā cilvēki plašākā sabiedrībā varētu uztvert mūsu uzvedību",D,sociology,103sociology
782,"Prasītāja iesūdzēja tiesā viņas kaimiņos esošu rūpniecības uzņēmumu par gaisa piesārņojuma radītiem veselības traucējumiem. Tiesas sēdē prasītājai tiešā pārbaudē tika uzdoti jautājumi par dienām, kurās viņa novēroja lielu putekļu daudzumu gaisā, un par to, cik ilgi šis stāvoklis ir bijis ilgstošs. Viņa liecināja, ka nevar atcerēties konkrētus laikus, bet viņa ir vedusi dienasgrāmatu, kurā katru dienu precīzi reģistrējusi šo informāciju. Kad viņas advokāts mēģināja atsvaidzināt viņas atmiņas, izmantojot dienasgrāmatu, viņa joprojām nevarēja atcerēties. Prasītājas advokāts lūdz, lai dienasgrāmatā ietvertā informācija tiktu atzīta tiesā. Vai šī informācija ir pieņemama?","Nē, jo tās pārskatīšana neatjaunoja prasītājas atmiņu.","Nē, ja vien to nepiedāvā atbildētājs.","Jā, un prasītājai būtu jādod iespēja izlasīt to kā pierādījumu vai arī dienasgrāmata būtu jāpieņem kā pierādījums.","Jā, un prasītājai būtu jāļauj izlasīt dienasgrāmatu kā pierādījumu.",D,professional_law,782professional_law
532,"Cilvēkiem nūjiņas, atšķirībā no čiekuriem,",atrodas tīklenes centrā.,sinapsē ar bipolārajām šūnām.,ātrāk reaģē uz spilgtām krāsām.,ir zems absolūtais gaismas slieksnis.,D,high_school_psychology,532high_school_psychology
66,Kurš no šiem aprakstiem vislabāk raksturo morfīna iedarbību?,Samazina sāpju intensitāti un palielina modrību.,"Samazina sāpju intensitāti, bet izraisa arī sedāciju.","Samazina sāpju intensitāti, bet izraisa arī caureju.","Samazina sāpju intensitāti, bet izraisa arī bezmiegu.",B,clinical_knowledge,66clinical_knowledge
1306,"Pīts Smits ir aktīvais partneris, bet Bils Džonss ir klusais partneris pilnsabiedrībā ar nosaukumu ""Pete Smith Plumbing"" Pēc sešiem gadiem, kad Bils nav iesaistījies personālsabiedrības uzņēmuma vadībā, viņš iegādājas 100 tualetes. Pīts ir sašutis, jo, lai izlietotu tik daudz tualešu, iespējams, būs vajadzīgi gadi, un lūdz padomu. Labākais padoms ir šāds:",Bils ar savu rīcību var saistīt personālsabiedrību.,klusie partneri ir tikai investori un nevar saistīt personālsabiedrību.,"Ja vien viņa vārds nav norādīts personālsabiedrības nosaukumā, trešās personas ""uzzina"", ka viņš nav pilnvarots slēgt līgumus personālsabiedrības vārdā.","Bils kā klusais partneris nav pilnvarots pirkt, un tāpēc pārdošanu var atcelt.",A,professional_law,1306professional_law
70,"Postmodernistu rakstnieki ir apgalvojuši, ka:","mēs dzīvojam virspusēju, fragmentāru tēlu pasaulē","neviena teorija nav labāka par jebkuru citu: ""viss ir iespējams""","sabiedrība ir mainījusies, un mums ir vajadzīgas jauna veida teorijas",viss iepriekš minētais,A,sociology,70sociology
6,Kura no šīm vielām ir bezmugurkaulnieku imūnsistēmai?,Citotoksiskie T-limfocīti,Fagocīti,B-šūnas,Palīgie T-šūnas,B,high_school_biology,6high_school_biology
37,"Uzņēmējus un investorus pārstāvošās interešu grupas bieži vien ir vienas no veiksmīgākajām lobiju grupām Vašingtonā, visu turpmāk minēto iemeslu dēļ, IZSKATOT","Šādām grupām ir finanšu resursi, lai rīkotu ilgstošas kampaņas savā vārdā.","Daudzas šādas grupas darbojas vairākus gadu desmitus vai ilgāk, kas ļauj tām apgūt likumdošanas sistēmu un izveidot ciešus sakarus ar likumdevējiem.",Daudzos apgabalos šo grupu vēlētāji veido vēlētāju vairākumu.,Šo grupu vēlētāji dod lielu ieguldījumu daudzu likumdevēju kampaņās un tādējādi iegūst labāku pieeju likumdevējiem.,C,high_school_government_and_politics,37high_school_government_and_politics
128,Kurā no šiem punktiem uzņēmumam bilancē jāatzīst nemateriālā vērtība?,"Izmaksas ir radušās, veidojot nemateriālo vērtību.","Nemateriālā vērtība ir radīta, iegādājoties uzņēmumu.",Uzņēmums sagaida nākotnes ieguvumus no nemateriālās vērtības radīšanas.,Uzņēmuma aktīvu patiesā tirgus vērtība pārsniedz uzņēmuma aktīvu uzskaites vērtību.,B,professional_accounting,128professional_accounting
81,"Ja nepieciešama neatliekama elpceļu atvēršana, krikoidālā membrāna ir jāpārdur nekavējoties.",augstāk par vairogdziedzera skrimšļiem.,zemāk par vairogdziedzera skrimšļiem.,zemāk par krikoidālo skrimšli.,augstāk par vairogdziedzera šaurumu.,B,anatomy,81anatomy
198,"Dažiem mikrouzturvielām ir izstrādāti ""bioķīmiskie funkcionālie rādītāji"", lai novērtētu viena vai vairāku bioķīmisko ceļu atbilstību, kas prognozējami reaģē uz konkrētās mikrouzturvielas statusa izmaiņām. Viens no piemēriem ir metilmalonskābe serumā kā bioķīmiskais funkcionālais indekss B12 vitamīna statusa noteikšanai. Kāds ir šādu bioķīmisko funkcionālo indeksu mērījumu galvenais mērķis?
",Precīzāk novērtēt ar uzturu uzņemto mikrouzturvielu daudzumu.,"Pārvarēt traucējumus, piemēram, ar akūtu fāžu saistītu ietekmi.","Koriģēt uzturvielu zudumus, piemēram, izdaloties ar urīnu.","Nodrošināt papildu statusa novērtējumu, ar kuru var noteikt kritisko audu pietiekamību un tādējādi arī klīniskas slimības vai fizioloģiskas darbības traucējumu risku.",D,nutrition,198nutrition
177,"Veselības departaments plāno pārbaudīt svina līmeni konkrētā parkā. Tā kā augsts svina līmenis ir kaitīgs bērniem, parks tiks slēgts, ja svina līmenis pārsniegs atļauto robežu. Departaments pēc nejaušības principa izvēlas vairākas vietas parkā, ņem augsnes paraugus no šīm vietām un pārbauda paraugus, lai noteiktu svina līmeni tajos. Kurš no turpmāk minētajiem lēmumiem būtu I tipa kļūdas rezultāts?","Slēgt parku, ja svina līmenis nepārsniedz atļauto robežu","Saglabāt parku atvērtu, ja svina līmenis pārsniedz atļauto robežu","Slēgt parku, ja svina līmenis pārsniedz atļauto robežu","Saglabāt parku atvērtu, ja svina līmenis nepārsniedz atļauto robežu",A,high_school_statistics,177high_school_statistics
258,"Fragments no Zoras Nīlas Hērstones grāmatas ""Viņu acis vēroja Dievu"" ir šāds. Visi cilvēki redzēja viņu atnākam, jo bija saulriets. Saule bija aizgājusi, bet debesīs bija atstājusi savas pēdas. Tas bija laiks, kad varēja sēdēt uz lieveņiem pie ceļa. Tas bija laiks, kad varēja klausīties un runāt. Šīs sēdvietas visu dienu bija bez mēles, bez ausīm, bez acīm. Viņu ādas bija aizņēmuši mūļi un citi zvēri. Bet tagad saule un priekšnieks bija prom, tāpēc ādas jutās spēcīgas un cilvēcīgas. Tās kļuva par skaņu un mazāku lietu valdniecēm. Viņi caur savām mutēm nodeva tautas. Viņi sēdēja tiesas priekšā. Kurš no šiem literārajiem paņēmieniem ir iekļauts saules aprakstā otrajā teikumā?",Priekšnojauta,Ironija,Atskatīšanās,Personifikācija,D,miscellaneous,258miscellaneous
156,"Vorners un Mirdāls apgalvoja, ka bijušie melnādainie vergi nepievienojās Ziemeļamerikas pilsētu ""etniskajam kausēšanas katlam"", jo:","baltie iedzīvotāji neticēja brīvībai, vienlīdzībai un demokrātijai",viņi vēlējās saglabāt spēcīgu savas sākotnējās etniskās identitātes apziņu,viņi nebija gatavi pamest Dienvidu štatus un pārcelties uz Ziemeļameriku,pilsonības solījums bija pretrunā ar pastāvīgu diskrimināciju,D,sociology,156sociology
57,"Ja viena skaņas avota frekvence ir 500 Hz un otra skaņas avota frekvence ir 504 Hz, tad, abiem viļņiem savstarpēji interferējot, sitiena frekvence būs",2 Hz,4 Hz,8 Hz,16 Hz,B,conceptual_physics,57conceptual_physics
83,"Darbu plānošanas politika, kas nodrošina, ka neviens darbs negaida bezgalīgi ilgi, lai saņemtu pakalpojumu. Kura no turpmāk minētajām darbu plānošanas politikām ir bez bada?",Apļveida rindas,Prioritāšu rindošana,Visīsākais darbs pirmais,Visjaunākais darbs pirmais,A,college_computer_science,83college_computer_science
1147,"Vīrietim tika izvirzītas apsūdzības pirmās pakāpes slepkavībā. Viņam tika iecelti divi advokāti, lai viņu pārstāvētu, jo apsūdzība plānoja viņam piespriest nāvessodu. Pirmajā tiesas procesa dienā tiesas zālē nedarbojās gaisa kondicionieris, tāpēc tiesnesis noteica, ka zvērināto atlase notiks viņa kabinetā. Ņemot vērā lielo potenciālo zvērināto skaitu, tiesnesis noteica, ka zvērināto atlases procesā piedalās tikai viens apsūdzības advokāts un viens advokāts aizstāvībai. Apsūdzētais palika tiesas zālē zvērināto nopratināšanas laikā. Kad zvērinātie bija atlasīti, tiesas process tika atlikts līdz nākamajai dienai, kad atkal darbojās gaisa kondicionēšana. Vai tiesas veiktais zvērināto atlases process pārkāpa apsūdzētā federālās konstitucionālās tiesības?","Nē, jo apsūdzētā tiesības uz konfrontāciju attiecas tikai uz lieciniekiem, nevis zvērinātajiem.","Nē, jo bija pamatots iemesls veikt zvērināto atlasi ārpus apsūdzētā klātbūtnes.","Jā, jo apsūdzētā izslēgšana apdraud nevainīguma prezumpciju.","Jā, jo zvērināto atlase ir kritisks posms, kurā apsūdzētajam ir tiesības būt klāt.",D,professional_law,1147professional_law
272,Pēc mācīšanās eksāmenam apgūtā materiāla saglabāšanu vislabāk sekmē,gulēšana,saistīta mācību priekšmeta apguve,vingrošana,ar to nesaistīta mācību priekšmeta apguve,A,professional_psychology,272professional_psychology
352,Kurš no šiem skaitļiem ir starp 2 329 500 un 2 598 100?,2 249 550,2 589 200,2 329 333,2 327 900,B,elementary_mathematics,352elementary_mathematics
12,"Kāds ir atlikums, ja $2^{87} +3$ dala ar $7$?",0,1,2,4,D,high_school_mathematics,12high_school_mathematics
174,"Kurā no šiem diviem scenārijiem galvenais varonis (kurš lieto es/jē/man) dara kaut ko, kas ir acīmredzami morāli nepareizs, saskaņā ar parastajām morāles normām ASV no 2020. gada? Scenārijs | Es izpirku daudzdzīvokļu ēku un tās vietā izveidoju bezpajumtnieku patversmi. 2. scenārijs | Kad mani vecvecāki gulēja, es aptraipīju viņu veļu.","Nepareizi, nepareizi","Nepareizi, nav nepareizi","Nav nepareizi, nav nepareizi","Nav nepareizi, nav nepareizi",C,moral_scenarios,174moral_scenarios
18,Izvēlieties labāko tulkojumu predikātu loģikā. Hosē iepazīstina Vilmu ar Kevinu. (j: José; k: Kevin; w: Wilma; Ixyz: x iepazīstina y ar z),Iwkj,Ijwk,Iwjk,Ijkw,B,formal_logic,18formal_logic
9,"Atrodiet koeficientu 5,04/0,7","0,72",702,"100,571","7,2",D,elementary_mathematics,9elementary_mathematics
159,Cik ir 7%?,7,"0,07","0,7",7,B,elementary_mathematics,159elementary_mathematics
93,"Atšķirībā no Gareta Hārdina pieejas konfūcisma modelis noraida piespiešanu, jo",kolektīvās rīcības problēmas novēršanas izmaksas nav nesvarīgas tās risināšanā,tas apstiprina indivīdu autonomiju neatkarīgi no citiem.,"tas nevar novest pie reālām sociālām pārmaiņām, kas ietver gan domāšanas, gan rīcības pārmaiņas",Konfūcisma modelis faktiski pieņem piespiešanu.,B,moral_disputes,93moral_disputes
104,"Lai mazinātu vai novērstu izspiešanu, ekspansīvu fiskālo politiku var papildināt ar",valdības izdevumu palielināšanu,ieguldījumu samazināšanu,ekspansīvu monetāro politiku,kontrakcionāru monetāro politiku,C,high_school_macroeconomics,104high_school_macroeconomics
189,Pie ļoti lieliem ātrumiem objekts miera stāvoklī esošam novērotājam šķiet,īsāks kustības virzienā.,sašaurināts visos virzienos.,īsāks kustībai perpendikulārā virzienā.,garāks visos virzienos.,A,conceptual_physics,189conceptual_physics
11,Kā atklāja retrovīrusus?,Vistās kā Rousa sarkomu,Cilvēkos kā HTLV-1,"Pelēs, kas izraisa leikēmiju","Kaķos, kas izraisa leikēmiju",C,virology,11virology
81,"Cik daudz palindromu (tādu pašu uz priekšu un atpakaļ) no 2 vai vairāk burtiem, kas satur burtu M, var izveidot, pārkārtojot jebkuru burtu apakškopu MISSISSIPPI?",89,66,86,2012,A,high_school_mathematics,81high_school_mathematics
87, _Ad novitatem_  ir,"apgalvojums, ka tas, kas attiecas uz dažiem klases locekļiem, attiecas uz visiem klases locekļiem","secinājumu izdarīšana, piemērojot neatbilstošus kritērijus kādam priekšmetam","atsevišķu stāstu aizstāšana ar lielāku izlasi, lai pamatotu kādu apgalvojumu","apgalvojums, ka kaut kam jābūt labam, jo tas ir jauns, vai sliktam, jo tas ir vecs",D,logical_fallacies,87logical_fallacies
122," Sastādiet pilnu patiesības tabulu šādam argumentam. Pēc tam, izmantojot patiesības tabulu, nosakiet, vai arguments ir derīgs vai nederīgs. Ja arguments ir nederīgs, izvēlieties iespēju, kas sniedz pretpierādījumu. (Var būt arī citi pretpierādījumi.)
(G ≡ H) - ~I
~G ∨ (~H ∨ I) / G",Derīgs,"Nederīgs. Pretparaugs, kad H un I ir patiesas, bet G ir nepatiesa","Nederīgs. Pretparaugs, kad H ir patiess, bet I un G ir nepatiesi","Nederīgs. Pretpiemēri, kad H, I un G ir nepatiesi",D,formal_logic,122formal_logic
156,"Teoriju, ka apdzīvotas vietas vai tirgus pilsētas galvenais mērķis ir apgādāt ar precēm un pakalpojumiem apkārtējo tirgus zonu, sauc par",pilsētu hierarhijas teoriju.,centrālās vietas teorija.,koncentriskās zonas modelis.,multiplikatora efekts.,B,high_school_geography,156high_school_geography
5,Kāpēc veiksmīgam sabiedrisko attiecību konsultantam pastāvīgi jāpārskata organizācijas pašreizējā un nākotnes realitāte?,", lai izstrādātu vīzijas izklāstu",", lai interpretētu tendences vadībai",", lai interpretētu organizācijas biznesa plānu",", lai apsvērtu, kāda loma varētu būt sabiedriskajām attiecībām",B,public_relations,5public_relations
249,"Nedzimušu mugurkaulnieku, kas ir attīstījies līdz savai sugai raksturīgai pamatstruktūrai, sauc par",zigotu.,blastocistu.,embriju.,augli.,D,moral_disputes,249moral_disputes
306,Īstermiņa Filipsa līkne attēlo ____ saistību starp ____ un ____.,pozitīvs cenu līmenis procentu likme,negatīva procentu likme privātie ieguldījumi,negatīva inflācijas līmenis bezdarba līmenis,pozitīvs cenu līmenis reālais IKP,C,high_school_macroeconomics,306high_school_macroeconomics
171,Atrodiet skaitlim -7 pretējo skaitli.,7,-7,"0,7","-7,7",A,elementary_mathematics,171elementary_mathematics
106,"Kas notiek ar attēlu, ko veido ieliekts spogulis, kad priekšmetu pārvieto no tālienes uz fokusa tuvumu?",Attēls attālinās no spoguļa un kļūst īsāks.,Attēls attālinās no spoguļa un kļūst augstāks.,Attēls virzās uz spoguļa pusi un kļūst īsāks.,Attēls virzās uz spoguļa pusi un kļūst augstāks.,B,high_school_physics,106high_school_physics
97,"Kādu terminu lieto, lai apzīmētu nenovēršamas pagātnes izmaksas, kuras nevar mainīt neatkarīgi no veiktās darbības?",Sākotnējās izmaksas,Iegremdētās izmaksas,Iespēju izmaksas,Pieaugošās izmaksas,B,professional_accounting,97professional_accounting
81,"Lai f(x) ir funkcija, kuras grafiks iet caur sākumpunktu. Ja f(2n) = n^2 + f[2(n - 1)] katram veselam n, kāda ir f(8) vērtība?",24,30,32,36,B,college_mathematics,81college_mathematics
174,"Cik daudzos pārtikas piegādes ķēdes posmos var izmērīt pārtikas pieejamību un patēriņu?
",10,5,2,4,B,nutrition,174nutrition
63,Diviem veseliem skaitļiem ir vismazākais kopīgais reizinātājs 60. Katrs skaitlis ir mazāks vai vienāds ar 12. Abu skaitļu lielākais kopīgais reizinātājs ir 2. Kādi ir šie divi skaitļi?,6 un 10,5 un 12,10 un 12,12 un 15,C,elementary_mathematics,63elementary_mathematics
0,"Derīgam disjunktīvam silogismam ir galvenā premisa, kas:",ietver divas vai vairākas alternatīvas,klasificē subjektus,apstiprina antecedentu vai noliedz konsekvenci,noved pie derīga secinājuma,A,logical_fallacies,0logical_fallacies
196,"Iepriekš vesels 19 gadus vecs koledžas students 24 stundas pēc galvassāpju, stīva kakla un jutības pret gaismu parādīšanās ierodas studentu veselības dienestā. Viņa neatceras nekādus kontaktus ar slimnieku. Viņa 7 gadu vecumā pārcieta vējbakas. Viņas pēdējā izmeklēšana pirms 1 gada ietvēra PPD ādas testu, un tajā netika konstatētas nekādas anomālijas. Viņa katru dienu lieto multivitamīnu un augu izcelsmes svara samazināšanas preparātu. Bērnībā viņa saņēma visas atbilstošās imunizācijas, bet kopš tā laika nav saņēmusi nevienu. Viņa nesmēķē, nelieto alkoholu un nelieto nelegālas narkotikas. Ģimenes anamnēzē nav bijušas nopietnas slimības. Viņa šķiet miegaina. Viņas temperatūra ir 39,1°C (102,4°F), pulss 112/min, elpošana 20/min, asinsspiediens 100/68 mm Hg. Izmeklējums liecina par difūzām petehijām. Ir Kerniga un Brudzinska pazīmes. Pārējā izmeklēšanā nav novērotas nekādas novirzes. Tiek veikta lumbālā punkcija. Cerebrospinālā šķidruma (CSF) analīzē konstatē daudz segmentētu neitrofilu un samazinātu glikozes koncentrāciju. KCM pēc Grama krāsojumā konstatē gramnegatīvus kokus. Kurš no turpmāk minētajiem ārstēšanas veidiem ir vispiemērotākais?",Ceftriaksons,Klindamicīns,Eritromicīns,Metronidazols,A,professional_medicine,196professional_medicine
532,"Psihologs uzsver, ka vecākiem ir jāizmanto piemērotas sekas, kad viņi saskaras ar savu bērnu nepareizu uzvedību. Turklāt psihologs paskaidro, ka sliktas uzvedības mērķis var būt apstiprinājums pieņemtai invaliditātei vai uzmanības, varas vai atriebības iegūšana. Kura no šādām teorētiskajām ievirzēm tiek izmantota",rogeriāņu,transakcionālā analīze,adleriāņu,psihodinamiskā,C,professional_psychology,532professional_psychology
83,"Kāds ir termins, kas apzīmē organizācijas attīstību, izmantojot formāli izstrādātu organizatorisko struktūru?",Organiskā,Mehāniskā,Formālā,Strukturētā,B,management,83management
272,"Kurā no šiem diviem scenārijiem galvenais varonis (kurš lieto es/jē/man) dara kaut ko, kas ir acīmredzami morāli nepareizs, saskaņā ar parastajām morāles normām ASV no 2020. gada? Scenārijs | Es apkrāptu tirgotāju. 2. scenārijs | Es izdzēru degvīnu lielās spēles pārtraukumā.","Nepareizi, nepareizi","Nepareizi, nav nepareizi","Nav nepareizi, nav nepareizi","Nav nepareizi, nav nepareizi",B,moral_scenarios,272moral_scenarios
104,"Kriminālprocesā par zādzību apsūdzētais izsauc liecinieku, kurš apliecina, ka viņš agrāk pazinis apsūdzēto kā armijas apgādes seržantu un ka apsūdzētais ir atteicies no daudzām iespējām nodarboties ar melno tirdzniecību. Vai liecinieka liecība ir pieņemama?","Nē, jo tā nav saistīta ar šo apsūdzību.","Nē, jo apsūdzētais nevar pierādīt savu bezvainīgo raksturu ar konkrētiem labas uzvedības gadījumiem.","Jā, jo apsūdzētais krimināllietā var pierādīt savu bezvainīgo raksturu kā pamatu secinājumam par uzvedību.","Jā, jo, apsūdzot apsūdzēto par zagli, apsūdzība ir apšaubījusi viņa raksturu.",C,professional_law,104professional_law
97,"Pieņemsim, ka hipotēzes pārbaude tiek veikta, izmantojot 5% nozīmīguma līmeni. Kurš no šiem apgalvojumiem ir pareizs?

(i) Būtiskuma līmenis ir vienāds ar testa lielumu

(ii) Būtiskuma līmenis ir vienāds ar testa spēku

(iii) 2,5 % no kopējā sadalījuma atradīsies katras astes noraidījuma apgabalā, ja tests ir divpusējs

(iv) 5 % no kopējā sadalījuma atradīsies katrā divpusējā testa noraidījuma apgabalā.",(ii) un (iv) tikai,(i) un (iii) tikai,"(i), (ii) un (iii) tikai","(i), (ii), (iii) un (iv)",B,econometrics,97econometrics
11,"Pie ārsta ierodas iepriekš vesela 24 gadus veca sieviete, kurai 7 dienas ir zems drudzis un neproduktīvs klepus. Viņa ir varējusi turpināt ikdienas aktivitātes. Viņas temperatūra ir 37,7°C (99,9°F). Krūškurvja kurvī ir dzirdami daži izkliedēti elpošanas krakšķi. Krūškurvja rentgenoloģiskajā attēlā redzami plankumaini infiltrāti abās plaušās. Kurš no turpmāk minētajiem ārstēšanas veidiem ir vispiemērotākais sākotnējās farmakoterapijas veids?",Amoksicilīns,Cefaklors,Ciprofloksacīns,Eritromicīns,D,professional_medicine,11professional_medicine
98,Kāda ir pirmā pavasara diena Amerikas Savienotajās Valstīs?,21. februāris,21. marts,21. aprīlis,21. maijs,B,miscellaneous,98miscellaneous
452,"Kāda sieviete nolīgusi celtnieku, lai viņš uzbūvētu māju saskaņā ar noteiktiem plāniem un specifikācijām, ko sagatavojis sievietes arhitekts. Saskaņotā cena bija 250 000 ASV dolāru, un celtniecība bija jāpabeidz četru mēnešu laikā. Divas nedēļas pēc būvniecības līguma noslēgšanas celtnieks sazinājās ar kokmateriālu būvlaukumu, lai iegādātos mājas būvniecībai nepieciešamo koksni. Būvnieks un kokmateriālu noliktavas īpašnieks noslēdza spēkā esošu rakstisku līgumu, saskaņā ar kuru kokmateriālu noliktavai bija jāpiegādā nepieciešamie kokmateriāli apmaiņā pret 10 000 ASV dolāru, ko būvnieks samaksāja 30 dienu laikā. Nedēļu vēlāk ugunsgrēks iznīcināja lielu daļu kokmateriālu krājumu. Tā rezultātā kokzāģētava atteicās piegādāt kokmateriālus būvniekam. Būvnieks nespēja atrast citu kokmateriālu piegādātāju, tāpēc paziņoja sievietei, ka nevarēs pabeigt būvniecību laikā. Ja sieviete iesūdzēs tiesā kokmateriālu noliktavas īpašnieku par līguma pārkāpumu, vai viņa uzvarēs?","Jā, jo saskaņā ar likumu sieviete ir būvnieka prasījuma pret kokmateriālu noliktavas īpašnieku par līguma pārkāpumu tiesiskais pārņēmējs.","Jā, bet tikai tad, ja ugunsgrēks nav izjaucis būvnieka līgumu ar kokmateriālu noliktavas īpašnieku.","Nē, jo starp sievieti un kokmateriālu noliktavas īpašnieku nepastāv līgumtiesiskās attiecības.","Nē, jo sieviete ir tikai gadījuma labuma guvēja līgumā starp būvnieku un kokmateriālu noliktavas īpašnieku.",D,professional_law,452professional_law
20,Kāds ir apgrieztais lielums no $f(x)=4-5x$?,\frac{5}{x-4},\frac{x-4}{5},\frac{x+4}{5},-\frac{x-4}{5},D,high_school_mathematics,20high_school_mathematics
107,"A akciju beta ir 0,8, bet B akciju beta ir 1,4. Gaidāmā tirgus peļņa ir 10%, un bezriska likme ir 7%. Izmantojot CAPM un šo informāciju par akcijām, kāda ir pieprasītā peļņas norma attiecīgi A un B akcijām?","9,4 % un 11,2 %","-2,6 % un 4,9 %","4,3 % un 7,4 %","6,4 % un 10,5 %",A,professional_accounting,107professional_accounting
48,"Uzņēmumiem ir _____ sabiedrībā, un tiem ir potenciāls sniegt ____ labumu sabiedrībai, bet ____ ir potenciāls nodarīt milzīgu kaitējumu indivīdiem, kopienām un videi.","Maza vara, neliels ieguldījums, ļaunprātīga rīcība uzņēmējdarbībā","Maza vara, liels ieguldījums, korporatīvā sociālā atbildība","Milzīga vara, neliels ieguldījums, korporatīvā sociālā atbildība","Milzīga vara, liels ieguldījums, ļaunprātīga rīcība uzņēmējdarbībā",D,business_ethics,48business_ethics
159,"Noteiktā pilsētā nokrišņu daudzums mēnesī ir sadalīts aptuveni normāli, un tā vidējais lielums ir 6 collas, bet standartnovirze - 1,6 collas. Kurš no turpmāk minētajiem datiem ir lielākais nokrišņu daudzums collas, kāds šajā mēnesī varētu būt šajā pilsētā, lai šis mēnesis būtu viens no 10 sausākajiem mēnešiem, ko pilsēta ir piedzīvojusi?","8,05","7,6","3,95","3,37",C,high_school_statistics,159high_school_statistics
45,1. apgalvojums | Jebkurām divām grupām G un G' pastāv homomorfisms no G uz G'. 2. apgalvojums | Katrs homomorfisms ir viena pret vienu.,"True, True","False, False","True, False","False, True",C,abstract_algebra,45abstract_algebra
